pmid,split,num_tokens,participants_spans,interventions_spans,outcomes_spans,text_preview
12045163,train,295,97 cases of SCD among apparently healthy men enrolled in the Physician 's Health Study . | apparently healthy men who are at an increased long-term risk of SCD .,"C-reactive protein ( CRP ) , homocysteine","C-reactive protein , homocysteine , and plasma lipid levels | Sudden cardiac death ( SCD ) | C-reactive protein ( CRP ) , homocysteine , and lipids | CRP levels | CRP levels | lipid parameters , homocysteine , and multiple cardiac risk factors | SCD . | long-term risk of SCD .","Prospective study of C-reactive protein, homocysteine, and plasma lipid levels as predictors of sudden cardiac death. BACKGROUND Sudden cardiac death "
19563641,train,438,men receiving therapy for prostate cancer . | men receiving androgen deprivation for their prostate cancer . | 195 men ( 65 subjects per arm ) undergoing treatment for prostate cancer involving ADT in the cities of Perth and Brisbane in Australia .,"Androgen deprivation therapy ( ADT ) | androgen deprivation | exercise program | resistance/impact loading exercise , ( 2 ) resistance/cardiovascular exercise groups and ( 3 ) usual care/delayed exercise . | progressive training","musculoskeletal-related side effects | cardiovascular and diabetes risk factors | bone mineral density ; 2 ) cardiorespiratory function and maximal oxygen capacity ; 3 ) body composition ( lean mass and fat mass ) ; 4 ) blood pressure and cardiovascular function ; 5 ) lipids and glycemic control ; and 6 ) quality of life and psychological distress . | determination of the strength of effect of exercise on the well established musculoskeletal , cardiovascular and insulin metabolism side effects of androgen deprivation in prostate cancer patients . | bone density , cardiovascular function , lean and fat mass , physical function and falls risk | fracture risk , improve physical and functional ability , quality of life and ultimately survival rate",A phase III clinical trial of exercise modalities on treatment side-effects in men receiving therapy for prostate cancer. BACKGROUND Androgen deprivat
8823584,train,358,anterior segment surgery . | local anesthesia in ophthalmic surgery | Patients undergoing various anterior segment surgery | 300 were operated with 1-quadrant sub-Tenon 's anesthesia ( 1-QST ) and the results were compared with 270 patients operated with retrobulbar anesthesia . | Patients undergoing various anterior segment surgery procedures,One quadrant sub-Tenon 's capsule anesthesia | Sub-Tenon 's capsule anesthesia | sub-Tenon 's | retrobulbar anesthesia . | sub-Tenon 's or retrobulbar anesthesia ; | 1-quadrant sub-Tenon 's anesthesia ( 1-QST ) | retrobulbar anesthesia . Retrobulbar anesthesia | lidocaine without epinephrine and 0.5 % bupivacaine . Sub-Tenon 's anesthesia | retrobulbar anesthesia ; | retrobulbar anesthesia,Preinjection mean ( +/- SD ) IOP | Preoperative intraocular pressures | Pre- and postinjection IOP | Pain scores for delivery of the anesthetic | numerical rating scale | Complete akinesia | incomplete akinesia | lateral muscle function,One quadrant sub-Tenon's capsule anesthesia in anterior segment surgery. Reports of complications associated with local anesthesia in ophthalmic surge
15278032,train,302,"analysis of 121 consecutive inguinal hernia repairs was performed over a 12-month period . Male well-informed patients with primary monolateral inguinal hernia ( ASA I-II ) were divided | and consecutively | was treated | ) ( median age 47+/-7 years , 57 patients ) , group B with open | herniorrhaphy ( 45+/-6 years , 64 patients ) . RESULTS Complication | a low ASA index and busy job/sport activity .",inguinal hernia repair . AIM | repairs was performed | preperitoneal approach ( TAPP | herniorrhaphy ( 45+/-6 | to inguinal hernia is confirmed,"to combine | recurrences , recovery time and return to usual activity . METHODS A | was 5.26 | stay and return to activity show statistically | stay was 1.7 | convalescence too ( | discomfort in patients",Tension-free laparoscopic versus open inguinal hernia repair. AIM During the last decade laparoscopic techniques have been applied to the treatment of
18093356,train,452,paediatric cardiac catheterization . | 126 patients scheduled for cardiac catheterization in a teaching hospital . They ranged in age from 4 months to 15 years . | aged from 3 to 6 years of age,"bispectral index | midazolam and ketamine . | without use of the bispectral index , while the index was used in the other",paediatric cardiac catheterization . | cardiac catheterization . | The requirements for respiratory support and adverse effects | The awakening time | decreased need for doses of midazolam and ketamine | lower need for respiratory support and less adverse effects .,Can analysis of the bispectral index prove helpful when monitoring titration of doses of midazolam and ketamine for sedation during paediatric cardiac
2319047,train,132,ADHD children : | 17 boys ( ages 7.8-9.9 years ) with attention deficit hyperactivity disorder ( ADHD ),0.3 and 0.6 mg/kg methylphenidate,"attention during the game | ability to answer questions | Judgment during batting , batting skill during the game , and performance on skill drills prior to the game",Methylphenidate and baseball playing in ADHD children: who's on first? The effects of 0.3 and 0.6 mg/kg methylphenidate were analyzed in a double-blin
7159500,train,267,12 patients with familial hypercholesterolemia ( corresponding to the HLP type IIa pattern ) .,combination of bezafibrate and guar . | a dietary fibre | Either bezafibrate alone or bezafibrate in combination with guar was administered in a cross-over study for 3 months . Guar | guar . | guar treatment | bezafibrate .,"total cholesterol | low density lipoprotein cholesterol ( LDL-cholesterol | apoprotein B | plasma triglyceride level and the triglyceride distribution | fasting plasma glucose level nor the body weight | slight nausea , meteorism and constipation","Treatment of familial hypercholesterolemia with a combination of bezafibrate and guar. The effect of guar (15.6 g/day), a dietary fibre, and simultane"
10348763,train,392,in children with malignant disease : | children with malignant disease . | 82 children who received a full course of 6 days or more of AmB ( 117 courses ) | children with malignant disease .,Amphotericin B | amphotericin B administered in dextrose versus lipid emulsion . | amphotericin B ( AmB ) | AmB infused in lipid emulsion | lipid emulsion | AmB infused in dextrose | AmB infused in lipid emulsion | AmB in dextrose | AmB in lipid emulsion . | AmB in dextrose | AmB in lipid emulsion | AmB in lipid emulsion | AmB in lipid emulsion | AmB in dextrose | AmB in lipid emulsion,pharmacokinetics of AmB | concentration of AmB in plasma | clearance ( CL ) of AmB in dextrose | steady-state volume of distribution for AmB | AmB in lipid emulsion | AmB in dextrose | safety and tolerance,Amphotericin B in children with malignant disease: a comparison of the toxicities and pharmacokinetics of amphotericin B administered in dextrose vers
23185761,train,289,high-risk human papilloma virus infection patients . OBJECTIVE | human papilloma virus ( HR-HPV ) infection . METHODS Totally | infection 70 patients were assigned,preparation in | YDJ ) preparation in treating | lotion and YDJ cream were applied | was applied,Therapeutic efficacy of | detection was performed | of human telomerase reverse transcriptase ( hTERT ) was detected | rate was 96.6 | of the cervix and the | of hTERT between the | of hTERT decreased in | of hTERT were obtained | and reversing | changes possibly through,Therapeutic efficacy of youdujing preparation in treating cervical high-risk human papilloma virus infection patients. OBJECTIVE To study the clinical
24292519,train,256,"patients with standard-risk disease following haploidentical transplantation : | patients receiving hematopoietic SCT without ex vivo T-cell-depletion from haploidentical donors , 224 patients with standard-risk hematological malignancy | One hundred and twelve patients",antithymocyte globulin | antithymocyte globulin ( ATG ) | 6 mg/kg ATG | received 10 mg/kg | the ATG-6 | the ATG-10 | the ATG-10 | the ATG-6 | the ATG-6 | and ATG-10 | although 6 mg/kg | compared with 10 mg/kg,The incidence of grade III-IV acute GVHD | -3.8 % ) . EBV reactivation | P=0.001 ) . The 1-year disease-free survival rates | decreased the risk of EBV reactivation | a higher risk for severe acute,Influence of two different doses of antithymocyte globulin in patients with standard-risk disease following haploidentical transplantation: a randomiz
24852722,train,350,"school age in two sites ( Manaus close and Salvador further south from the equator ) . Seven hundred and sixty three state schools were matched on socio economic characteristics of the neighborhood and 239,934 children were randomized",BCG vaccine | BCG vaccine | ( BCG vaccination | control group . | BCG vaccination,efficacy : | protection ; | Protection by first BCG vaccination | revaccination at school age | Vaccine efficacy | Variation in BCG efficacy,Causes of variation in BCG vaccine efficacy: examining evidence from the BCG REVAC cluster randomized trial to explore the masking and the blocking hy
15249792,train,240,Adults with systolic BP 120-159 mm Hg and diastolic BP 80-95 mm Hg | subjects with hypertension at baseline,"Dietary Approaches to Stop Hypertension ( DASH ) diet | reduced sodium intake | DASH diet or a typical American ( control ) diet , consuming three different sodium intakes | control/lower sodium diet | DASH/lower sodium diet .",blood pressure ( BP ) | systolic BP | diastolic BP | increased BP control | increased BP control | maximum BP control rate | BP became normal or optimal | BP control .,Effect of the dietary approaches to stop hypertension diet and reduced sodium intake on blood pressure control. The authors hypothesized that the Diet
1682643,train,318,whooping cough . | three Swedish hospitals . | 73 children aged less than 36 months who were admitted with a clinical diagnosis of whooping cough . | 47 children with less than or equal to 14 days of disease before therapy .,Specific immunoglobulin | monocomponent pertussis toxoid vaccine ; ( b ) two-component acellular vaccine also containing filamentous haemagglutinin ; or ( c ) 20 % albumin solution ( placebo ) .,lack of success | Duration of whoops post-treatment | Mean number of whoops | duration of whoops | beneficial effect,Specific immunoglobulin for treatment of whooping cough. Immunoglobulin treatment for whooping cough (pertussis) is widely believed to be ineffective 
9919095,train,166,The preparation of patients for cardiac surgery . | patients attending a preadmission teaching program prior to cardiac surgery .,preadmission telephone intervention | telephone intervention,"anxiety , knowledge , and readiness for discharge | anxiety and knowledge . | level of anxiety | perceived knowledge | scores in actual knowledge .","The preparation of patients for cardiac surgery. This study examines the impact of a preadmission telephone intervention on anxiety, knowledge, and re"
23680243,train,362,women with type 1 diabetes : | in pregnant type 1 diabetic patient | A retrospective observational study included thirty-four pregnant type 1 diabetic patients . | CSII treated group ( n=14 ) and MDI treated group ( n=20 ) . | pregnant type 1 diabetic patients,continuous subcutaneous insulin infusion ( CSII ) or multiple daily injections of insulin ( MDI ) . | CSII treated group | and MDI treated group,"glycemic control | glycemic control and maternal-fetal outcome | glycemic control ( HbA1c ) , hypoglycemic events , time and mode of delivery and labor results ( abortion , premature labor , perinatal mortality , neonatal weight , Apgar score , neonatal hypoglycaemia , presence of congenital abnormalities ) | Pregnancy outcome and glycemic control | longer duration of diabetes | Reduction in HbA1c level | Duration of pregnancy and new born baby weight | rate of abortion , preterm labor , cesarean section and hypoglycemia in new born | Apgar score",Pregnancy outcome and glycemic control in women with type 1 diabetes: a retrospective comparison between CSII and MDI treatment. AIM Present study was
8791949,train,295,Helicobacter pylori . | Helicobacter pylori . | Volunteers with H. pylori infection ( by 13C-urea breath test ) | dirithromycin alone ( n = 6 ) | patients with H. pylori infection .,"macrolide antibiotic dirithromycin | Macrolide antibiotics | macrolide , dirithromycin | dirithromycin 500 mg q.d.s. | dirithromycin 500 mg q.d.s . plus omeprazole 40 mg q.d.s. | or dirithromycin 500 mg q.d.s . plus metronidazole 500 mg t.d.s . | dirithromycin 500 mg q.d.s . plus omeprazole 20 mg b.d. | dirithromycin 1000 mg q.d.s . plus omeprazole 20 mg b.d. | or amoxycillin 500 mg q.d.s . plus omepirazole 20 mg b.d . | metronidazole . | omeprazole )",cure of their infection . Eradication of H. pylori | H. pylori infection cured | reported side-effects | side-effects . | cured .,Prospective evaluation of the macrolide antibiotic dirithromycin for the treatment of Helicobacter pylori. BACKGROUND Macrolide antibiotics are active
18040663,train,294,"young people with type 1 diabetes . | and twenty-six patients fulfilled the eligibility criteria ( type 1 diabetes for > 1 year ; on conventional insulin therapy ( CIT ) ; aged between 8 and 18 years ) , of whom 92 enrolled . Patients were","Intensive insulin therapy | intensive diabetes management intensive insulin | Talk ' text-messaging support produces measurable | therapy ( CIT ) ; aged between | ( n=28 ) ; group 2 , CIT and Sweet Talk ( n=33 ) ; or group 3 , IIT and Sweet Talk ( n=31 ) . Vascular assessments ( including measures of endothelial damage , activation , dysfunction and oxidative stress ) and HbA1c were performed at baseline and repeated after 12 months of the study . RESULTS Glycaemic","endothelial function | . METHODS One | ( including measures of endothelial damage , activation , dysfunction and oxidative stress ) and HbA1c were performed | deteriorated in | to acetylcholine | , independently",Intensive insulin therapy improves endothelial function and microvascular reactivity in young people with type 1 diabetes. AIMS/HYPOTHESIS Macrovascul
19660462,train,379,Norfloxacin modulates the inflammatory response and directly affects neutrophils in patients with decompensated cirrhosis . | Patients with cirrhosis undergoing selective intestinal decontamination with norfloxacin | Thirty-one patients with cirrhosis receiving norfloxacin ( 400 mg/day ) were included . | Fifty-nine ascitic fluid samples | patients with cirrhosis .,"norfloxacin and trimethoprim/sulfamethoxazole | Norfloxacin , trimethoprim/sulfamethoxazole , cytokines , nitric oxide | nitric oxide","Serum and ascitic levels of tumor necrosis factor-alpha , interferon-gamma , interleukin-12 , and nitric oxide | serum norfloxacins concentrations and tumor necrosis factor-alpha | nitric oxide | Serum norfloxacin 's highest concentrations | cytokines and nitric oxide . Intracellular norfloxacin 's highest levels | cytokine expression .",Norfloxacin modulates the inflammatory response and directly affects neutrophils in patients with decompensated cirrhosis. BACKGROUND & AIMS Patients 
6729651,train,206,advanced cancer of the uterine cervix . | two different radiotherapy techniques | 83 patients with advanced cancer of the uterine cervix ( stage IIIB ) employing external irradiation alone,High-dose weekly fractionation radiotherapy | external irradiation,efficacy and morbidity | Serious late complication rates | Late complication rates,High-dose weekly fractionation radiotherapy in advanced cancer of the uterine cervix. A trial comparing two different radiotherapy techniques and sche
7505498,train,12,Sandostatin prophylaxis for preservation injury after pancreas transplantation .,Sandostatin prophylaxis,preservation injury,Randomized trial of Sandostatin prophylaxis for preservation injury after pancreas transplantation.
8561526,train,247,"schoolchildren in Zambia . | an area of Zambia endemic for schistosomiasis . | Schistosoma mansoni | 377 infected children , aged seven to 19 years | All children were treated with 40 mg praziquantel/kg at the start of the study . | children , in this and similar endemic areas",placebos .,"splenomegaly , hepatomegaly , and subjective symptoms of morbidity | morbidity .","A community-based randomized trial of praziquantel to control schistosomiasis morbidity in schoolchildren in Zambia. A community-based, double-blind, "
7072873,train,224,"over 1,200 respondents , people assigned memory aids reported over 50 per cent more symptom episodes than those not assigned memory aids .",Memory aids | memory aids | memory aids | memory aids | memory aids | memory aids,influenced by the information recorded in their memory aids | became more aware of their health . | more worried or depressed | perceptions of health status .,Memory aids in longitudinal health surveys: results from a field experiment. The use of memory aids to improve respondent recall is becoming increasin
17331237,train,398,"major depressive disorder | Depressive disorder | depressive disorder | depressive disorder | primary care in the Netherlands | Forty general practices | patients who are diagnosed with moderate to severe depression , based on DSM-IV criteria , and stratified according to comorbid chronic physical illness . | patients with a depressive disorder | major depressive disorder","collaborative care including PST and an antidepressant treatment algorithm | collaborative care approach with Problem Solving Treatment and an antidepressant treatment algorithm | Problem Solving Treatment . | adapted collaborative care framework , including contracting and adherence-improving strategies , combined with Problem Solving Treatment and antidepressant medication according to a treatment algorithm . | randomised to either the intervention group or the control group . | Patients in the intervention group will receive treatment based on the collaborative care approach , and patients in the control group will receive care as usual . Baseline measurements and follow up measures ( 3 , 6 , 9 and 12 months ) are assessed using questionnaires and an interview . | collaborative care model","Problem Solving Treatment | severity of depressive symptoms , according to the PHQ9 . | remission as measured with the PHQ9 and the IDS-SR , and cost-effectiveness measured with the TiC-P , the EQ-5D and the SF-36 .",Cost-effectiveness of collaborative care including PST and an antidepressant treatment algorithm for the treatment of major depressive disorder in pri
17694216,train,203,"provisional restorations : | polymethyl methacrylate ( PMMA ) self-cured acrylic resin provisional crowns . | Three types of PMMA surfaces were tested : ( 1 ) polished , ( 2 ) polished and coated with bonding agent , and ( 3 ) polished and coated with light-cured liquid polish .",liquid-polish coating | polymethyl methacrylate ( PMMA ) self-cured acrylic resin provisional crowns . | confocal laser scanning microscope | scanning electron microscope,"in vivo biofilm accumulation | Biofilm accumulation on provisional restorations | Biofilm , 250 Mum thick | bacterial accumulation | biofilm formation",Effect of liquid-polish coating on in vivo biofilm accumulation on provisional restorations: part 1. OBJECTIVE Biofilm accumulation on provisional res
20209171,train,255,brackets bonded with resin-modified glass-ionomer cement . | Forty-five human premolars were randomly divided into five groups .,enamel pretreatment | resin-modified glass-ionomer cement ( RMGIC ) | primer ; | acid etching | value for RMGIC,shear bond strength | shear bond strength | bond strength | . The value,Effect of enamel pretreatment on shear bond strength of brackets bonded with resin-modified glass-ionomer cement. AIM To evaluate the shear bond stren
22395144,train,278,cesarean delivery : | primary and repeat cesarean deliveries | 258 women undergoing primary and repeat cesarean deliveries at 32 weeks of gestation or more to creation ( n=131 ) or omission ( n=127 ) of the bladder flap .,bladder flap | cesarean delivery : | bladder flap | cesarean deliveries | primary and repeat cesarean deliveries | abdominal surgeries | cesarean deliveries | omission of the bladder flap,"total operating time . | bladder injury , incision-to-delivery time , incision-to-fascial closure time , estimated blood loss , postoperative microhematuria , postoperative pain , hospital days , endometritis , and urinary tract infection . | median skin incision to delivery interval | 51 range 18-124 | were no | , postoperative microhematuria , postoperative pain , hospital days , endometritis , or urinary tract infection . CONCLUSION Omission of the bladder flap at primary",Utility of the bladder flap at cesarean delivery: a randomized controlled trial. OBJECTIVE To test the hypothesis that omission of the bladder flap in
22686292,train,429,"men aged ≥40 years with erectile dysfunction | aged ≥40 years with erectile dysfunction ( ED ) . PATIENTS | Men aged ≥40 years who were not receiving lipid lowering or anti-hypertensive medication and not at high cardiovascular risk were recruited from 10 general practices in the East of England . | , 173 eligible men with untreated ED were randomized to double-blind treatment with 40 | with ED",on erectile | 40 mg of simvastatin or placebo once | simvastatin and placebo groups | mg of simvastatin . The,"erectile function | health-related quality of life | and cost-effectiveness of simvastatin | function and health-related quality of life in men | erectile function ( International Index of Erectile Function-5 score ) | ED-specific quality of life ( MED-QoL ) , quality-adjusted life years ( QALYs ) using the generic Euroqol measure ( EQ-5D ) , endothelial function , cardiovascular risk , cholesterol and health service costs . | erectile function between the | MED-QoL was | . Both 10-year cardiovascular risk and low-density lipoprotein were reduced | endothelial function . The frequency of sexual encounters is correlated | improved erectile function . The joint distribution of costs and QALY benefits indicates that | cost-effective for willingness-to-pay | QALY benefits suggests",Can simvastatin improve erectile function and health-related quality of life in men aged ≥40 years with erectile dysfunction? Results of the Erectile 
839327,train,199,"low-birth-weight infants . | appropriate-for-gestational age , low-birth-weight infants","pooled human milk ( BM ) ; formula 1 ( F1 ) = 1.5 gm/dl protein , 60 parts bovine whey proteins : 40 parts bovine caseins ; F2 = 3.0 gm/dl , 60:40 ; F3 = 1.5 gm/dl , 18:82 ; F4 = 3.0 gm/dl",phenylalanine in plasma and urine . | Plasma and urine concentrations of tyrosine and phenylalanine | catabolize tyrosine . | significantly higher plasma tyrosine concentrations | increased plasma tyrosine concentrations,"Milk protein quantity and quality in low-birth-weight infants. IV. Effects on tyrosine and phenylalanine in plasma and urine. Well, appropriate-for-ge"
23436524,train,404,broiler chicks . | broiler chicks infected with Eimeria maxima . | chicks from hatch to d 16 posthatch . | growth in young broiler chicks infected with E. maxima,dietary threonine and purified fiber | supplemental dietary Thr and purified fiber | Thr-deficient basal | 70 g/kg of silica sand ( control ) or high-methoxy pectin and 1 of 2 concentrations of Thr | 0.5 mL of distilled water or an acute dose of Eimeria maxima | infection or Thr supplementation,". Body weight gain , feed intake , and G : F | . Eimeria maxima schizonts | . Weights of cecal digesta | . Expression of interleukin-12 in ileal mucosa | interferon-γ expression","Modulation of the intestinal environment, innate immune response, and barrier function by dietary threonine and purified fiber during a coccidiosis ch"
12642251,train,244,acute epicondylitis . | pain of medial or lateral epicondylitis ( tennis elbow ) . | patients with medial or lateral elbow epicondylitis . | 199 patients with elbow epicondylitis,dexamethasone sodium phosphate,medial or lateral epicondylitis ( tennis elbow ) . | 100-mm patient visual analog scale ratings | investigator 's global improvement scale | Investigator-rated pain and tenderness scores | symptoms of epicondylitis,"Iontophoretic administration of dexamethasone sodium phosphate for acute epicondylitis. A randomized, double-blinded, placebo-controlled study. BACKGR"
10554112,train,17,Comparison of nasal deposition and clearance of aerosol,nebulizer and an aqueous spray pump .,nasal deposition and clearance of aerosol,Comparison of nasal deposition and clearance of aerosol generated by nebulizer and an aqueous spray pump.
17548021,train,468,"medical-surgical critically ill patients | 15-bed medical-surgical university-affiliated intensive care unit ( ICU ) . | patients older than 18 years , expected to be in ICU for more than 72 hours , with a glucose value of more than 10 mmol/L within 48 hours of ICU admission . Exclusion criteria were diabetic ketoacidosis , severe hepatic failure or hepatic resection , pancreatitis , glucose of less than 2.2 mmol/L on admission to hospital , insulin infusion on admission to ICU , planned withdrawal of life support , and inability to obtain informed consent . | We enrolled 20 patients with a mean ( SD ) Acute Physiology and Chronic Health Evaluation ( APACHE ) II score of 32 ( 10.2 ) ; 14 were insulin-dependent pre-ICU , and all were medical admissions . | illness severity , glucose values were",intensive insulin therapy . | intensive insulin therapy | concealed random allocation to a target glucose range of 5 to 7 or 8 to 10 mmol/L using pretested algorithms of insulin infusions . | intensive insulin therapy,Acute Physiology and Chronic Health Evaluation ( APACHE ) II score | Mean glucose values | glucose measurements | than 2.5 | the 2,"Lowering of glucose in critical care: a randomized pilot trial. BACKGROUND Similar to cardiac surgery patients, medical-surgical critically ill patien"
20705223,train,333,"endothelial dysfunction in healthy humans . | endothelial function in lean healthy humans . | Forty-three normal-weight healthy volunteers were recruited ( mean age 29 years ; 18 women ) . Subjects | young subjects , modest",fat gain | fat gain | fat gain | gain weight | maintain weight | results in,"endothelial function | Endothelial dysfunction | endothelial function | Endothelial function ( brachial artery flow-mediated dilation FMD ) was measured | visceral , and subcutaneous fat . Blood pressure and overnight polysomnography did not | gain ( rho=-0.42 | gain ( rho=-0.22 | , even | . Endothelial function recovers after | than subcutaneous fat predicts endothelial | . ( Fat",Modest visceral fat gain causes endothelial dysfunction in healthy humans. OBJECTIVES The aim of this study was to determine the impact of fat gain an
